Nation,FIFA_2022_ranking,FIFA_2026_rank,rank_change
France,3,1,2
Spain,10,2,8
Argentina,2,3,-1
England,5,4,1
Portugal,9,5,4
Brazil,1,6,-5
Netherlands,6,7,-1
Morocco,11,8,3
Belgium,4,9,-5
Germany,14,10,4
Croatia,7,11,-4
Colombia,17,13,4
Senegal,19,14,5
Mexico,15,15,0
United States,13,16,-3
Uruguay,16,17,-1
Japan,20,18,2
Switzerland,12,19,-7
Iran,24,21,3
Turkey,44,22,22
Ecuador,41,23,18
Austria,34,24,10
South Korea,25,25,0
Australia,27,27,0
Algeria,38,28,10
Egypt,40,29,11
Canada,53,30,23
Norway,43,31,12
Panama,61,33,28
Ivory Coast,47,34,13
Sweden,23,38,-15
Paraguay,46,40,6
Czech Republic,39,41,-2
Scotland,42,43,-1
Tunisia,29,44,-15
DR Congo,73,46,27
Uzbekistan,77,50,27
Qatar,60,55,5
Iraq,68,57,11
South Africa,67,60,7
Saudi Arabia,48,61,-13
Jordan,84,63,21
Bosnia and Herzegovina,57,65,-8
Cape Verde,72,69,3
Ghana,58,74,-16
Curaçao,86,82,4
Haiti,87,83,4
New Zealand,105,85,20
